competencia;regiao;uf;municipio;subsetor;subatividade;saldomovimentacao;razaosocial;indicadoraprendiz;tipomovimentacao;tipodedeficiencia;salario;escolaridade;idade;horascontratuais;racacor;sexo
201801;3;35;3550308;10;10112;-1;EMPRESA ANTIGA EXEMPLO LTDA;0;1;0;2728,03;1;58;44;5;1
201801;3;35;3550308;10;10112;1;EMPRESA ANTIGA EXEMPLO LTDA;0;3;0;3573,45;2;60;44;2;1
201801;3;35;3550308;10;10112;-1;EMPRESA ANTIGA EXEMPLO LTDA;0;5;0;2685,09;3;55;44;5;1
201801;3;35;3550308;10;10112;-1;EMPRESA ANTIGA EXEMPLO LTDA;0;5;0;1921,84;2;64;44;2;1
201801;3;35;3550308;10;10112;-1;EMPRESA ANTIGA EXEMPLO LTDA;0;5;0;3508,18;9;64;44;5;3
201801;3;35;3550308;10;10112;-1;EMPRESA ANTIGA EXEMPLO LTDA;0;5;0;3243,4;2;58;44;2;1
201801;3;35;3550308;10;10112;-1;EMPRESA ANTIGA EXEMPLO LTDA;0;2;0;3929,88;1;51;44;3;1
201801;3;35;3550308;10;10112;-1;EMPRESA ANTIGA EXEMPLO LTDA;0;3;0;1483,56;4;19;44;3;1
201801;3;35;3550308;10;10112;1;EMPRESA ANTIGA EXEMPLO LTDA;0;2;0;3893,02;3;61;44;2;3
201801;3;35;3550308;10;10112;-1;EMPRESA ANTIGA EXEMPLO LTDA;0;5;0;1195,16;4;38;44;5;3
201801;3;35;3550308;10;10112;-1;EMPRESA ANTIGA EXEMPLO LTDA;0;4;0;3252,91;8;52;44;5;3
201801;3;35;3550308;10;10112;1;EMPRESA ANTIGA EXEMPLO LTDA;0;5;0;1459,38;3;63;44;3;3
201801;3;35;3550308;10;10112;-1;EMPRESA ANTIGA EXEMPLO LTDA;0;3;0;2877,95;5;33;44;4;3
201801;3;35;3550308;10;10112;-1;EMPRESA ANTIGA EXEMPLO LTDA;0;2;0;1187,69;2;35;44;2;3
201801;3;35;3550308;10;10112;1;EMPRESA ANTIGA EXEMPLO LTDA;0;5;0;1190,95;1;30;44;2;3
201801;3;35;3550308;10;10112;-1;EMPRESA ANTIGA EXEMPLO LTDA;0;3;0;3012,07;7;41;44;5;3
201801;3;35;3550308;10;10112;-1;EMPRESA ANTIGA EXEMPLO LTDA;0;3;0;3824,36;3;49;44;3;1
201801;3;35;3550308;10;10112;-1;EMPRESA ANTIGA EXEMPLO LTDA;0;1;0;3349,76;2;33;44;1;1
201801;3;35;3550308;10;10112;-1;EMPRESA ANTIGA EXEMPLO LTDA;0;5;0;3477,89;2;29;44;5;3
201801;3;35;3550308;10;10112;1;EMPRESA ANTIGA EXEMPLO LTDA;0;3;0;3174,47;9;64;44;4;3
