competenciamov;regiao;uf;municipio;secao;subclasse;saldomovimentacao;cbo2002ocupacao;categoria;graudeinstrucao;idade;horascontratuais;racacor;sexo;tipoempregador;tipoestabelecimento;tipomovimentacao;tipodedeficiencia;indtrabintermitente;indtrabparcial;salario;tamestabjan;indicadoraprendiz;origemdainformacao;competenciadec;indicadordeforadoprazo;unidadesalariocodigo;valorsalariofixo
202301;3;35;3550308;C;1011201;-1;711205;10;8;33;44;3;1;1;1;10;0;0;0;2839,36;3;0;1;202301;0;1;4104,34
202301;3;35;3550308;C;1011201;1;711205;10;5;41;44;4;1;1;1;10;0;0;0;1710,44;3;0;1;202301;0;1;6739,38
202301;3;35;3550308;C;1011201;-1;711205;10;8;25;44;2;3;1;1;10;0;0;0;5531,88;3;0;1;202301;0;1;5642,29
202301;3;35;3550308;C;1011201;-1;711205;10;3;31;44;2;3;1;1;20;0;0;0;4530,76;3;0;1;202301;0;1;1786,48
202301;3;35;3550308;C;1011201;-1;711205;10;2;47;44;1;1;1;1;20;0;0;0;4892,74;3;0;1;202301;0;1;6237,69
202301;3;35;3550308;C;1011201;-1;711205;10;2;32;44;4;1;1;1;10;0;0;0;5657,63;3;0;1;202301;0;1;2940,11
202301;3;35;3550308;C;1011201;-1;711205;10;5;36;44;1;1;1;1;10;0;0;0;7439,63;3;0;1;202301;0;1;7561,67
202301;3;35;3550308;C;1011201;1;711205;10;2;41;44;5;3;1;1;10;0;0;0;6382,38;3;0;1;202301;0;1;1611,23
202301;3;35;3550308;C;1011201;-1;711205;10;1;60;44;4;1;1;1;20;0;0;0;1555,59;3;0;1;202301;0;1;2708,08
202301;3;35;3550308;C;1011201;-1;711205;10;3;42;44;3;1;1;1;10;0;0;0;4125,91;3;0;1;202301;0;1;4517,66
202301;3;35;3550308;C;1011201;1;711205;10;5;39;44;2;1;1;1;20;0;0;0;3560,98;3;0;1;202301;0;1;2295,06
202301;3;35;3550308;C;1011201;-1;711205;10;7;55;44;1;3;1;1;20;0;0;0;2377,81;3;0;1;202301;0;1;3824,74
202301;3;35;3550308;C;1011201;1;711205;10;5;29;44;2;1;1;1;20;0;0;0;5109,06;3;0;1;202301;0;1;7333,02
202301;3;35;3550308;C;1011201;1;711205;10;6;37;44;4;1;1;1;10;0;0;0;3979,59;3;0;1;202301;0;1;7051,56
202301;3;35;3550308;C;1011201;-1;711205;10;7;52;44;1;3;1;1;20;0;0;0;7366,63;3;0;1;202301;0;1;4635,02
202301;3;35;3550308;C;1011201;-1;711205;10;8;30;44;4;3;1;1;20;0;0;0;7511,52;3;0;1;202301;0;1;1360,34
202301;3;35;3550308;C;1011201;1;711205;10;3;35;44;2;3;1;1;10;0;0;0;6796,18;3;0;1;202301;0;1;7424,36
202301;3;35;3550308;C;1011201;1;711205;10;7;34;44;3;3;1;1;20;0;0;0;4129,36;3;0;1;202301;0;1;3589,66
202301;3;35;3550308;C;1011201;-1;711205;10;4;38;44;1;1;1;1;10;0;0;0;7465,38;3;0;1;202301;0;1;2228,80
202301;3;35;3550308;C;1011201;1;711205;10;6;32;44;5;3;1;1;10;0;0;0;6567,85;3;0;1;202301;0;1;6597,98
